Title,Type,Price
Cute & Cozy Boho Gem Avenida Lisbon,Entire home/apt,104
Nice view over Tagus River @ Lisboa,Private room,1421
Lavanda House Air Cond & Fireplace & Garden,Entire home/apt,108
Loft - Downtown / Castle - historic,Entire home/apt,80
Central Elegant Spacious Apartment in Baixa 107,Entire home/apt,244
Central Artistic Apartment in Baixa 107,Entire home/apt,206
Chalet with swimming pool in Sintra,Entire home/apt,135
Luxury apartment in Monte Estoril,Entire home/apt,255
Guest House Graça Castle. By Alfama,Entire home/apt,110
Charming room for Lisbon lovers,Private room,100
Your home in Bairro Alto,Entire home/apt,119
"Lv Premier Baixa CN1- AC, elevator, central, view",Entire home/apt,401
"Sao Vicente I, Eco-flat with best view in Lisbon",Entire home/apt,73
"Alfama I, eco-penthouse with view & french balcony",Entire home/apt,76
"A Casa e o Mundo, peaceful to stay",Private room,60
"Quarto charme Algés, entre a praia e a cidade.",Private room,45
"CASTELO, ALFAMA - CASA MENINO DEUS    ( 53816/AL )",Entire home/apt,89
GreatStay Fanqueiros 5 Room 210 (Private Bathroom),Private room,125
"Excellent family home, come visit!",Private room,
Bright & cozy apartment in Alfama,Entire home/apt,65
Charming Apartment Mouraria Castelo,Entire home/apt,106
TRV2- Quiet and Warm Historic Alfama with A/C,Entire home/apt,183
TRV3 - glamour in Lisbon's historic center,Entire home/apt,250
"Alfama Lisbon-""Windows to the Sun""",Entire home/apt,90
The Flat with The View,Entire home/apt,185
CENTRAL 2 BED APT - Very cozy and typical!,Entire home/apt,66
Renovated! Amazing Terraces in Alfama,Entire home/apt,231
Among the gorse and the breeze,Entire home/apt,45
"Santa Catarina, Lisbon Details",Entire home/apt,167
Bairro Alto apartment,Entire home/apt,95
"Nice room, nice family, nice view",Private room,
Central Duplex Apartment with Rooftop in Baixa 107,Entire home/apt,224
BAIRRO ALTO Ap (Free Pocket Wi-Fi),Entire home/apt,80
Look this very nice double room,Private room,
Tranquilidade em Lisboa / Lisbon Tranquility,Private room,70
Lisbon Tejo Apartment Best Location and River View,Entire home/apt,308
Casa do Jardim - a lovely corner!!!,Entire home/apt,64
ALMIRANTE77 now with double glazing,Entire home/apt,279
Central Inviting Spacious Apartment in Baixa 107,Entire home/apt,260
Castelo Patio Apartment 6-8 persons,Entire home/apt,276
Studio Santa Catarina (68m2),Entire home/apt,
B1 Luminous & Spacious Gem | Central Location BICA,Entire home/apt,146
Tram 28: Perfect View over Alfama!,Entire home/apt,189
Clara's cosy corner,Entire home/apt,95
Spacious with amazing seafront view @ ocean side,Entire home/apt,
Have a nice stay!,Entire home/apt,60
Lovely & Cozy with Amazing View & Central Location,Entire home/apt,106
Apartment in historical Alfama,Entire home/apt,93
Charming Apartment 2bed with patio in Alfama,Entire home/apt,146
Cascais Guincho - 4+1 Guests - 80m2 w/ balcony,Entire home/apt,85
Casa de Malvar apto local agradavel,Entire home/apt,
Gulbenkian Apartment,Entire home/apt,73
Yellow House-Relax for big families,Entire home/apt,300
BAIRRO ALTO Std (Free Pocket Wi-Fi),Entire home/apt,89
ChezChaouen~Lovely well located Ap. Bairro Alto,Entire home/apt,89
Apartment with private garden and wifi in Lisbon.,Entire home/apt,100
Very Central in Alfama - Lisbon from the Past,Entire home/apt,84
GreatStay Fanqueiros 2 Room 110,Private room,117
Apartamento aconchegante no bairro alto,Entire home/apt,182
Old Cascais Central Charming Attic,Entire home/apt,102
Apartament Miradouro Portas do Sol,Entire home/apt,
T1 in the center of Lisbon Homely,Private room,
Casa Nino III - Miradouro do Adamastor,Entire home/apt,57
Wonderful apartment 20 min. from Lisbon,Entire home/apt,60
Principe Real Garden Apartment,Entire home/apt,92
Principe Real duplex Apartment,Entire home/apt,300
Cozy Apartment with Private Terrace - Bairro Alto,Entire home/apt,124
Casa Nino II  - Miradouro do Adamastor,Entire home/apt,57
House of Maps : Downtown Lisbon,Entire home/apt,130
Cascais: modern apartment,Entire home/apt,90
Large  studio in best neighbourhood,Entire home/apt,118
Charming  flat with killer views,Entire home/apt,171
Spacious Flat with a view over Tagus  river,Entire home/apt,272
Lapa Studio with Private Patio,Entire home/apt,127
IN CASCAIS near the centre holidays,Private room,
Casa do Jasmim - Vila de Sintra,Entire home/apt,91
Charming apartment in Bairro Alto,Entire home/apt,
WONDERFULL APT PACO DE ARCOS BEACH,Entire home/apt,153
Bela Vista à Graça + Parking,Entire home/apt,319
Belém Large Two Bedroom Apartment with Living Room,Entire home/apt,80
Comfort and modernity in old town,Private room,250
CARCAVELOS BEACH,Entire home/apt,166
Madressilva House: garden and Tagus,Entire home/apt,96
Bohemian two bedroom apartment with garden patio,Entire home/apt,65
Charming Apt  @ Bairro Alto/Chiado,Entire home/apt,114
"2 bedroom fully renovated, sleeps 6",Entire home/apt,101
"Center!Comfy room, house with view!",Private room,39
Sweet Alfama,Entire home/apt,91
T2- Grace Lisbon Historic area,Entire home/apt,83
"Great View Alfama Private Roof Garden, Loft Studio",Entire home/apt,100
LV Premier P.Real PI1- Central/River Views/Terrace,Entire home/apt,328
Flat in Estoril  with outside space,Entire home/apt,
Duplex Penthouse in Central Lisbon,Entire home/apt,351
Lisbon Center Apartment with Terrace,Entire home/apt,109
Charm&Cosy-Lisbon Apartment WIFI& Ar Condicionado,Entire home/apt,104
Cozy apartment in Lisbon's center!,Entire home/apt,140
"Prime location, private room, kitchenette and wc",Private room,99
Flat in the heart of Lisbon - Baixa,Entire home/apt,147
3- Cozy  Double Bed -  Metro:Arroios & Alameda.,Private room,27
FONTE DO CABO APARTMENT,Entire home/apt,
Vintage Bairro Alto Lisbon Apartment,Entire home/apt,362
Charming apartment Principe Real - 1 bedroom,Entire home/apt,86
House Santo Antoninho,Entire home/apt,72
ANGOLA,Entire home/apt,336
TILES APARTMENT - BY MAYORAL,Entire home/apt,122
Cozy Apartment in Lisbon's Green Street,Entire home/apt,120
Top Location Beautiful Apartment!,Entire home/apt,98
Campo Pequeno - friends & children!,Entire home/apt,115
Cozy & Central Apt Olhar da Moura,Entire home/apt,50
OCEAN VIEWS -  ESTORIL BEACH HOUSE,Entire home/apt,132
Room in Lisbon Center,Private room,29
Bright and spacious apartment in th,Entire home/apt,120
Apartment T1 Bairro Alto - Baixa - Chiado,Entire home/apt,190
Apartment in Carcavelos Near Beach,Entire home/apt,220
Inglesinhos loft - modest apartament,Entire home/apt,191
Central Colorful & Sunny Apartment in Baixa 107,Entire home/apt,342
Riba Coxos Lovely Surf Beach House,Entire home/apt,200
Beautiful Stone House Suite,Entire home/apt,54
1- Cozy  Double Bed -  Metro:Arroios & Alameda.,Private room,23
Quarto Individual para Senhora,Private room,40
"Lapa Terrace, Luxury Apartment",Entire home/apt,341
Lisbon at your feet - River View!,Entire home/apt,105
Your private garden in Lisboa! (Castelo/Alfama),Entire home/apt,83
Santa Catarina * stylish with yard *,Entire home/apt,
T3 & single room for renting Lisbon,Entire home/apt,213
Baixa Sunny apartment with a View!,Entire home/apt,136
Apartment Central Lisbon - Av. Roma,Entire home/apt,140
Pleasant and much SYMPATHY,Private room,17
Stylish duplex located in the festive district,Entire home/apt,78
Chiado Loft 8 Terrace Lisbon Loft,Entire home/apt,173
2 bedroom apartment in Lisbon with garden view,Entire home/apt,186
T2 Duplex central for up to 4p,Entire home/apt,94
Condessa Doll's House by Lisbon Heart,Entire home/apt,187
Loft in Heritage Building with City View Terrace,Entire home/apt,179
Charming Apartment in Alfama Area,Entire home/apt,144
Stunning Apartment in Alfama Area,Entire home/apt,299
PRINCIPE REAL - HEART OF LISBON,Entire home/apt,170
Chiado Loft 3 Fantastic New Place,Entire home/apt,151
Chiado Loft 2 Fantastic Last Floor,Entire home/apt,130
"Chiado ""Loft"" 4 Fantastic Place",Entire home/apt,164
CASA DA VILA 2,Entire home/apt,89
Charming Apartment near Basilica Estrela,Entire home/apt,129
Apartamento no coração de Alfama,Entire home/apt,82
Magnificent Lisbon View Design,Entire home/apt,193
Welcome to Lisbon : Art for you,Entire home/apt,94
"Ericeira apartment, frontal seaview",Entire home/apt,199
Romantic flat in Alfama (Lisbon),Entire home/apt,85
Lisbon Sant'Ana Restelo 1br terrace,Entire home/apt,94
Beautiful and wide flat in Alfama (Lisbon),Entire home/apt,112
Apartamento Mouraria Guesthouse - Room 1,Private room,36
